Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,5 - 0
2,1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,0 - 1
3,1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,0 - 1
4,1,15/06/2018 21:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B,3 - 3
5,1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,2 - 1
6,1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,1 - 1
7,1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C,0 - 1
8,1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,2 - 0
9,1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E,0 - 1
10,1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,0 - 1
11,1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,1 - 1
12,1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,1 - 0
13,1,18/06/2018 18:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G,3 - 0
14,1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G,1 - 2
15,1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H,1 - 2
16,1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,1 - 2
17,2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,3 - 1
18,2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,1 - 0
19,2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,1 - 0
20,2,20/06/2018 21:00,Kazan Arena,Iran,Spain,Group B,0 - 1
21,2,21/06/2018 15:00,Samara Stadium,Denmark,Australia,Group C,1 - 1
22,2,21/06/2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,1 - 0
23,2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,0 - 3
24,2,22/06/2018 15:00,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,2 - 0
25,2,22/06/2018 18:00,Volgograd Stadium,Nigeria,Iceland,Group D,2 - 0
26,2,22/06/2018 21:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,1 - 2
27,2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,5 - 2
28,2,23/06/2018 18:00,Rostov-on-Don Stadium,Korea Republic,Mexico,Group F,1 - 2
29,2,23/06/2018 21:00,"Fisht Stadium, Sochi",Germany,Sweden,Group F,2 - 1
30,2,24/06/2018 15:00,Nizhny Novgorod Stadium,England,Panama,Group G,6 - 1
31,2,24/06/2018 18:00,Ekaterinburg Stadium,Japan,Senegal,Group H,2 - 2
32,2,24/06/2018 21:00,Kazan Arena,Poland,Colombia,Group H,0 - 3
33,3,25/06/2018 17:00,Samara Stadium,Uruguay,Russia,Group A,3 - 0
34,3,25/06/2018 17:00,Volgograd Stadium,Saudi Arabia,Egypt,Group A,2 - 1
35,3,25/06/2018 21:00,Saransk Stadium,Iran,Portugal,Group B,1 - 1
36,3,25/06/2018 21:00,Kaliningrad Stadium,Spain,Morocco,Group B,2 - 2
37,3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Denmark,France,Group C,0 - 0
38,3,26/06/2018 17:00,"Fisht Stadium, Sochi",Australia,Peru,Group C,0 - 2
39,3,26/06/2018 21:00,Saint Petersburg Stadium,Nigeria,Argentina,Group D,1 - 2
40,3,26/06/2018 21:00,Rostov-on-Don Stadium,Iceland,Croatia,Group D,1 - 2
41,3,27/06/2018 17:00,Ekaterinburg Stadium,Mexico,Sweden,Group F,0 - 3
42,3,27/06/2018 17:00,Kazan Arena,Korea Republic,Germany,Group F,2 - 0
43,3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Serbia,Brazil,Group E,0 - 2
44,3,27/06/2018 21:00,Nizhny Novgorod Stadium,Switzerland,Costa Rica,Group E,2 - 2
45,3,28/06/2018 17:00,Volgograd Stadium,Japan,Poland,Group H,0 - 1
46,3,28/06/2018 17:00,Samara Stadium,Senegal,Colombia,Group H,0 - 1
47,3,28/06/2018 21:00,Saransk Stadium,Panama,Tunisia,Group G,1 - 2
48,3,28/06/2018 21:00,Kaliningrad Stadium,England,Belgium,Group G,0 - 1
50,Round of 16,30/06/2018 17:00,Kazan Arena,France,Argentina,,4 - 3
49,Round of 16,30/06/2018 21:00,"Fisht Stadium, Sochi",Uruguay,Portugal,,2 - 1
51,Round of 16,01/07/2018 17:00,"Luzhniki Stadium, Moscow",Spain,Russia,,1 - 1
52,Round of 16,01/07/2018 21:00,Nizhny Novgorod Stadium,Croatia,Denmark,,1 - 1
